provider_code,provider_name,provider_postcode,site_code,site_name,site_postcode,establishment_ukprn,establishment_urn,establishment_name,establishment_postcode
1FE,David Ross Education Trust,DN36 4TF,G,Endike Academy,HU6 7UR,10043306,140184,Endike Academy,HU6 7UR
1FE,David Ross Education Trust,DN36 4TF,J,Fairfield Academy,DN33 3AE,10048340,141631,Fairfield Academy,DN33 3AE
1FE,David Ross Education Trust,DN36 4TF,H,Havelock Academy,DN32 8JH,10021045,135294,Havelock Academy,DN32 8JH
1FE,David Ross Education Trust,DN36 4TF,B,Hogsthorpe Primary Academy,PE24 5PT,10038644,138749,Hogsthorpe Primary Academy,PE24 5PT
1FE,David Ross Education Trust,DN36 4TF,Q,Humberston Academy,DN36 4TF,10034541,137200,Humberston Academy,DN36 4TF
1FE,David Ross Education Trust,DN36 4TF,V,King Edward VI Academy,PE23 5EW,10038868,138783,King Edward VI Academy,PE23 5EW
1FE,David Ross Education Trust,DN36 4TF,C,Kings Heath Primary Academy,NN5 7LN,10044192,140414,Kings Heath Primary Academy,NN5 7LN
1FE,David Ross Education Trust,DN36 4TF,4,Lodge Park Academy,NN17 2JH,10039855,139060,Lodge Park Academy,NN17 2JH
1FE,David Ross Education Trust,DN36 4TF,M,Malcolm Arnold Academy,NN2 6JW,10031226,136201,Malcolm Arnold Academy,NN2 6JW
1FE,David Ross Education Trust,DN36 4TF,O,Malcolm Arnold Preparatory School,NN2 6JW,10046823,140946,Malcolm Arnold Preparatory School,NN2 6JW
1FE,David Ross Education Trust,DN36 4TF,F,Quay Academy,YO16 4LB,10044570,140551,Quay Academy,YO16 4LB
1FE,David Ross Education Trust,DN36 4TF,L,Rockingham Primary School,NN17 1AJ,10042019,139805,Rockingham Primary School,NN17 1AJ
1FE,David Ross Education Trust,DN36 4TF,S,Skegness Grammar School,PE25 2QS,10038695,138757,Skegness Grammar School,PE25 2QS
1FE,David Ross Education Trust,DN36 4TF,8,The Arbours Primary Academy,NN3 3QF,10039894,139061,The Arbours Primary Academy,NN3 3QF
1FE,David Ross Education Trust,DN36 4TF,T,Thomas Hinderwell Primary Academy,YO12 4HF,10042930,140018,Thomas Hinderwell Primary Academy,YO12 4HF
1FE,David Ross Education Trust,DN36 4TF,U,Thomas Middlecott Academy,PE20 1JS,10047528,141391,Thomas Middlecott Academy,PE20 1JS
2CO,STAGE TSA,PO19 5PA,C,Manor Green Primary School,RH11 0DU,10077056,126162,Manor Green Primary School,RH11 0DU
2CO,STAGE TSA,PO19 5PA,W,Woodlands Meed,RH15 9EY,10038783,136114,Woodlands Meed,RH15 9EY
1FH,Leeds City Training Alliance,LS13 1DQ,W,Leeds West Academy,LS13 1DQ,10027710,135935,Leeds West Academy,LS13 1DQ
2EA,Broadway Academy,B20 3DP,S,Broadway Academy,B20 3DP,10042220,139841,Broadway Academy,B20 3DP
2G7,Reaside Academy,B45 0HY,3,Featherstone Academy,WV10 7AS,10047168,141278,Featherstone Academy,WV10 7AS
2G7,Reaside Academy,B45 0HY,2,Pye Green Academy,WS12 4RT,10047635,141493,Pye Green Academy,WS12 4RT
164,Ashton-on-Mersey School,M33 5BP,S,Birtenshaw,BL7 9AB,10015031,105280,Birtenshaw,BL7 9AB
164,Ashton-on-Mersey School,M33 5BP,B,Broadoak School,M31 4BU,10037224,138124,Broadoak School,M31 4BU
164,Ashton-on-Mersey School,M33 5BP,F,Forest Gate Academy,M31 4PN,10038863,138788,Forest Gate Academy,M31 4PN
164,Ashton-on-Mersey School,M33 5BP,D,Lord Derby Academy,L36 6DG,10044190,140412,Lord Derby Academy,L36 6DG
164,Ashton-on-Mersey School,M33 5BP,L,Lymm High School,WA13 0RB,10038667,138732,Lymm High School,WA13 0RB
164,Ashton-on-Mersey School,M33 5BP,W,Westhoughton High School,BL5 3BZ,10007449,105252,Westhoughton High School,BL5 3BZ
164,Ashton-on-Mersey School,M33 5BP,R,Wright Robinson College,M18 8RL,10084213,146239,Wright Robinson College,M18 8RL
1SZ,Gorsemoor Primary School,WS12 3TG,G,GORSEMOOR PRIMARY SCHOOL,WS12 3TG,10069219,124183,Gorsemoor Primary School,WS12 3TG
213,Northern Lincolnshire Education Consortium (NLEC),DN17 4HU,C,Frederick Gough School,DN16 3NG,10015873,118097,Frederick Gough School,DN16 3NG
213,Northern Lincolnshire Education Consortium (NLEC),DN17 4HU,D,Huntcliff School,DN21 4NN,10036271,137832,Huntcliff School,DN21 4NN
213,Northern Lincolnshire Education Consortium (NLEC),DN17 4HU,E,Sir John Nelthorpe School,DN20 8AA,10005867,118112,Sir John Nelthorpe School,DN20 8AA
213,Northern Lincolnshire Education Consortium (NLEC),DN17 4HU,-,The Axholme Academy,DN17 4HU,10036169,137759,The Axholme Academy,DN17 4HU
213,Northern Lincolnshire Education Consortium (NLEC),DN17 4HU,G,Winterton Community Academy,DN15 9QD,10038691,138831,Winterton Community Academy,DN15 9QD
1JZ,Edgewick Community Primary School,CV6 5GP,A,Edgewick Community Primary School,CV6 5GP,10076543,103642,Edgewick Community Primary School,CV6 5GP
1JZ,Edgewick Community Primary School,CV6 5GP,B,Manor Park Primary School,CV3 5EZ,10068848,103691,Manor Park Primary School,CV3 5EZ
1OD,The Streetly Academy,B74 2EX,C,Cardinal Griffin Catholic College,WS11 4AW,10001159,124468,Cardinal Griffin Catholic College,WS11 4AW
1OD,The Streetly Academy,B74 2EX,S,Shire Oak Academy,WS9 9PA,10033334,136620,Shire Oak Academy,WS9 9PA
1N9,Laurance Haines School,WD18 0DD,H,University of Hertfordshire,AL10 9AB,10007147,133783,University of Hertfordshire,AL10 9AB
1JQ,Northern Alliance,OL1 3SQ,K,Hollingworth Academy,OL16 3DR,10043073,140091,Hollingworth Academy,OL16 3DR
1JQ,Northern Alliance,OL1 3SQ,G,Marple Hall School,SK6 6LB,10016886,106138,Marple Hall School,SK6 6LB
1JQ,Northern Alliance,OL1 3SQ,E,North Chadderton School,OL9 0BN,10047142,141248,North Chadderton School,OL9 0BN
1JQ,Northern Alliance,OL1 3SQ,J,Wardle Academy,OL12 9RD,10043068,140055,Wardle Academy,OL12 9RD
1FB,Binstead Primary School,PO369BA,A,Carisbrooke College,PO30 5QU,10035193,136012,Carisbrooke College,PO30 5QU
1FB,Binstead Primary School,PO369BA,6,Cowes Primary School,PO31 8HF,10069539,118156,Cowes Primary School,PO31 8HF
1FB,Binstead Primary School,PO369BA,3,Gurnard Primary School,PO31 8DS,10069536,118160,Gurnard Primary School,PO31 8DS
1FB,Binstead Primary School,PO369BA,5,Lanesend Primary School,PO31 7ES,10047190,141305,Lanesend Primary School,PO31 7ES
1FB,Binstead Primary School,PO369BA,8,Medina College,PO30 2DX,10035284,136010,Medina College,PO30 2DX
1DJ,Calthorpe School Sports College,B1 2RX,3,Boldmere Junior School,B73 5SD,10071495,103341,Boldmere Junior School,B73 5SD
1DJ,Calthorpe School Sports College,B1 2RX,7,Greenholm Primary School,B44 8HS,10038624,138693,Greenholm Primary School,B44 8HS
1DJ,Calthorpe School Sports College,B1 2RX,F,Grendon Primary School,B14 4RB,10076572,103205,Grendon Primary School,B14 4RB
1DJ,Calthorpe School Sports College,B1 2RX,K,Hall Green Infant School,B28 0AR,10070974,103210,Hall Green Infant School,B28 0AR
1DJ,Calthorpe School Sports College,B1 2RX,G,Hillstone Primary School,B34 7PY,10047157,141270,Hillstone Primary School,B34 7PY
1DJ,Calthorpe School Sports College,B1 2RX,U,Hodge Hill Primary School,B36 8LD,10062297,143869,Hodge Hill Primary School,B36 8LD
1DJ,Calthorpe School Sports College,B1 2RX,C,Hollywood Primary School,B14 4TG,10069146,103314,Hollywood Primary School,B14 4TG
1DJ,Calthorpe School Sports College,B1 2RX,M,Mary Elliot School,WS2 7NR,10016890,104272,Mary Elliot School,WS2 7NR
1DJ,Calthorpe School Sports College,B1 2RX,2,Parkfield Community School,B8 3AX,10039980,139162,Parkfield Community School,B8 3AX
1DJ,Calthorpe School Sports College,B1 2RX,9,Pitcheroak School,B97 6PQ,10017087,117056,Pitcheroak School,B97 6PQ
1DJ,Calthorpe School Sports College,B1 2RX,J,Ryders Green Primary School,B70 9UJ,10073176,103979,Ryders Green Primary School,B70 9UJ
1DJ,Calthorpe School Sports College,B1 2RX,0,Shenstone Lodge School,WS14 0LB,10086153,147347,Shenstone Lodge School,WS14 0LB
1DJ,Calthorpe School Sports College,B1 2RX,H,Welcombe Hills School,CV37 6TQ,10066650,145486,Welcombe Hills School,CV37 6TQ
1AM,James Brindley School,B15 2AF,2,Cherry Oak School,B29 6PB,10077033,103626,Cherry Oak School,B29 6PB
1PP,Buxton Community School,SK17 9EA,C,Burbage Primary School,SK17 9AE,10077272,112520,Burbage Primary School,SK17 9AE
1PP,Buxton Community School,SK17 9EA,D,Buxton Infant School,Sk17 6QB,10076518,112522,Buxton Infant School,SK17 6QB
1PP,Buxton Community School,SK17 9EA,I,Chapel-en-le-Frith High School,SK23 0TQ,10015122,112932,Chapel-en-le-Frith High School,SK23 0TQ
1PP,Buxton Community School,SK17 9EA,G,Harpur Hill Primary School,SK17 9LP,10077271,112523,Harpur Hill Primary School,SK17 9LP
1PO,Weaverham High School,CW8 3HT,C,Kingsmead Primary School,CW9 8WA,10074137,134336,Kingsmead Primary School,CW9 8WA
1AF,Roman Hill Primary School,NR32 2NX,R,Roman Hill Primary School,NR32 2NX,10066830,145559,Roman Hill Primary School,NR32 2NX
1LD,Hayesfield Girls School,BA2 3LA,B,Beechen Cliff School,BA2 4RE,10082545,146972,Beechen Cliff School,BA2 4RE
1LD,Hayesfield Girls School,BA2 3LA,R,Ralph Allen School,BA2 7AD,10037881,138522,Ralph Allen School,BA2 7AD
2DN,Watergate School,SE6 3WG,W,Watergate School,SE6 3WG,10077050,100766,Watergate School,SE6 3WG
2ED,Hazel Wood Infant School,SO40 8WU,T,Hazel Wood Infant School,SO40 8WU,10074113,116243,Hazel Wood Infant School,SO40 8WU
2ED,Hazel Wood Infant School,SO40 8WU,L,Lydlynch Infant School,SO40 3DW,10075384,115954,Lydlynch Infant School,SO40 3DW
1B1,Prospect School,RG30 4EX,L,Little Heath School,RG31 5TY,10003951,110063,Little Heath School,RG31 5TY
1B1,Prospect School,RG30 4EX,W,The Willink School,RG7 3XJ,10006865,110048,The Willink School,RG7 3XJ
1SU,"Churchfield Primary School, Gateway TSA (North London)",N9 9PL,D,Brimsdown Primary School,EN3 7NA,10057793,143202,Brimsdown Primary School,EN3 7NA
1SU,"Churchfield Primary School, Gateway TSA (North London)",N9 9PL,L,Lavender Primary School,EN2 0SX,10057763,143199,Lavender Primary School,EN2 0SX
1SU,"Churchfield Primary School, Gateway TSA (North London)",N9 9PL,K,Millbrook School,EN8 9BX,10076903,117379,Millbrook School,EN8 9BX
1SU,"Churchfield Primary School, Gateway TSA (North London)",N9 9PL,O,Oasis Academy Enfield,EN3 7XH,10021087,134311,Oasis Academy Enfield,EN3 7XH
1SU,"Churchfield Primary School, Gateway TSA (North London)",N9 9PL,C,Purwell Primary School,SG4 0PU,10079569,117224,Purwell Primary School,SG4 0PU
1SU,"Churchfield Primary School, Gateway TSA (North London)",N9 9PL,S,Sudbury Primary School,HA0 3EY,10038640,138608,Sudbury Primary School,HA0 3EY
1SU,"Churchfield Primary School, Gateway TSA (North London)",N9 9PL,U,University of Hertfordshire,AL10 9AB,10007147,133783,University of Hertfordshire,AL10 9AB
1DN,Boston West Primary School,PE21 7QG,2,Staniland Academy,PE21 8DF,10038704,138752,Staniland Academy,PE21 8DF
1NJ,Cornwallis Academy,ME17 4HX,N,New Line Learning Academy,ME15 9QL,10021098,135372,New Line Learning Academy,ME15 9QL
1HX,King Edward Vi High School For Girls,B15 2UB,B,Ark Boulton Academy,B11 2QG,10042925,140014,Ark Boulton Academy,B11 2QG
1HX,King Edward Vi High School For Girls,B15 2UB,K,Ark Kings Academy,B38 9DE,10037711,137578,Ark Kings Academy,B38 9DE
1HX,King Edward Vi High School For Girls,B15 2UB,T,Ark Tindal Primary Academy,B12 9QS,10038362,138397,Ark Tindal Primary Academy,B12 9QS
1HX,King Edward Vi High School For Girls,B15 2UB,C,Chad Vale Primary School,B15 3JU,10076403,103332,Chad Vale Primary School,B15 3JU
1HX,King Edward Vi High School For Girls,B15 2UB,N,Nishkam High School,B19 2LF,10038734,138586,Nishkam High School,B19 2LF
1PF,Woodham Academy,DL5 4AX,P,Byerley Park Primary School,DL5 7LE,10072153,114189,Byerley Park Primary School,DL5 7LE
1PF,Woodham Academy,DL5 4AX,H,Heighington Church of England Primary School,DL5 6PH,10034926,137022,Heighington Church of England Primary School,DL5 6PH
1PF,Woodham Academy,DL5 4AX,R,Richmond School,DL10 7BQ,10065396,145090,Richmond School,DL10 7BQ
1PF,Woodham Academy,DL5 4AX,S,Sugar Hill Primary School,DL5 5NU,10070821,114207,Sugar Hill Primary School,DL5 5NU
1PF,Woodham Academy,DL5 4AX,V,Vane Road Primary School,DL5 5RH,10073250,114206,Vane Road Primary School,DL5 5RH
1PF,Woodham Academy,DL5 4AX,C,West Cornforth Primary School,DL17 9HP,10073263,114079,West Cornforth Primary School,DL17 9HP
2GF,Whitefield Academy Trust,E4 9PP,M,Hillingdon Manor School,UB8 3HD,10015882,131940,Hillingdon Manor School,UB8 3HD
1U1,Westerton Primary School,WF3 1AR,D,Dronfield Infant School,S18 1RY,10076516,112540,Dronfield Infant School,S18 1RY
1U1,Westerton Primary School,WF3 1AR,S,Salterlee Primary School,HX3 7AY,10035157,137347,Salterlee Primary School,HX3 7AY
1U1,Westerton Primary School,WF3 1AR,T,Thorner Church of England Primary School,LS14 3JD,10068035,146003,Thorner Church of England Primary School,LS14 3JD
1U1,Westerton Primary School,WF3 1AR,W,Warwick Road Primary School,WF17 6BS,10075856,107642,Warwick Road Primary School,WF17 6BS
12T,Butlers Court School,HP9 1RW,1,Butlers Court School,HP9 1RW,10077902,110291,Butlers Court School,HP9 1RW
1J8,Fort Pitt Grammar School,ME4 6TJ,1,Fort Pitt Grammar School,ME4 6TJ,10032192,136337,Fort Pitt Grammar School,ME4 6TJ
1J8,Fort Pitt Grammar School,ME4 6TJ,2,The Robert Napier School,ME7 2LX,10038456,138511,The Robert Napier School,ME7 2LX
1NW,Stretford High School,M32 0XA,1,Stretford High School,M32 0XA,10017594,106370,Stretford High School,M32 0XA
12P,Chace Community School,EN1 3HQ,7,Alperton Community School,HA0 4JE,10038632,138610,Alperton Community School,HA0 4JE
12P,Chace Community School,EN1 3HQ,B,Aylward Academy,N18 1NB,10030654,136147,Aylward Academy,N18 1NB
12P,Chace Community School,EN1 3HQ,M,Brampton Manor Academy,E6 3SQ,10033384,136669,Brampton Manor Academy,E6 3SQ
12P,Chace Community School,EN1 3HQ,O,Cardinal Pole Catholic School,E9 6LG,10001166,100285,Cardinal Pole Catholic School,E9 6LG
12P,Chace Community School,EN1 3HQ,S,Faraday School,E14 0FH,10072316,135989,Faraday School,E14 0FH
12P,Chace Community School,EN1 3HQ,F,Gladesmore Community School,N15 6EB,10002675,102157,Gladesmore Community School,N15 6EB
12P,Chace Community School,EN1 3HQ,L,Greig City Academy,N8 7NU,10015671,133386,Greig City Academy,N8 7NU
12P,Chace Community School,EN1 3HQ,1,Hampstead School,NW2 3RT,10002876,100052,Hampstead School,NW2 3RT
12P,Chace Community School,EN1 3HQ,J,Hurstmere School,DA15 9AW,10035087,137368,Hurstmere School,DA15 9AW
12P,Chace Community School,EN1 3HQ,G,Mill Hill County High School,NW7 4LL,10034554,137386,Mill Hill County High School,NW7 4LL
12P,Chace Community School,EN1 3HQ,8,Northway School,NW7 3HS,10077045,101395,Northway School,NW7 3HS
12P,Chace Community School,EN1 3HQ,R,The Crescent Primary School,CR0 2HN,10054189,142379,The Crescent Primary School,CR0 2HN
12P,Chace Community School,EN1 3HQ,E,The Latymer School,N9 9TN,10006733,102055,The Latymer School,N9 9TN
1W5,Dial Park Primary School,SK2 5LB,1,Dial Park Primary School,SK2 5LB,10072635,106043,Dial Park Primary School,SK2 5LB
229,Highbury Fields School Direct Partnership,N5 1AR,C,Central Foundation Boys' School,EC2A 4SH,10001257,100458,Central Foundation Boys' School,EC2A 4SH
229,Highbury Fields School Direct Partnership,N5 1AR,H,Highbury Fields School,N5 1AR,10003067,100455,Highbury Fields School,N5 1AR
1OW,Vale Of Evesham School,WR11 1BN,R,Riversides School,WR1 3HZ,10044173,140397,Riversides School,WR1 3HZ
1F8,St George's Primary School,CH45 3NF,F,Birkenhead High School Academy,CH43 1TY,10027544,135877,Birkenhead High School Academy,CH43 1TY
1F8,St George's Primary School,CH45 3NF,E,Clare Mount Specialist Sports College,CH46 9PA,10015196,105129,Clare Mount Specialist Sports College,CH46 9PA
1F8,St George's Primary School,CH45 3NF,B,Mount Primary School,CH45 5HU,10042611,104993,Mount Primary School,CH45 5HU
1F8,St George's Primary School,CH45 3NF,C,Park Primary School,CH44 5RN,10070126,104999,Park Primary School,CH44 5RN
1F8,St George's Primary School,CH45 3NF,G,The Mosslands School,CH45 8PJ,10006758,105103,The Mosslands School,CH45 8PJ
1F8,St George's Primary School,CH45 3NF,K,Weatherhead High School,CH44 3HS,10035973,137815,Weatherhead High School,CH44 3HS
2FA,Bradford South Partnership,BD5 7DQ,A,Wibsey Primary School,BD6 1RL,10075666,107233,Wibsey Primary School,BD6 1RL
2FV,Encompass,NR18 9SZ,5,Fred Nicholson School,NR19 1JB,10015370,121256,Fred Nicholson School,NR19 1JB
2FV,Encompass,NR18 9SZ,2,Hartismere School,IP23 7BL,10031385,136271,Hartismere School,IP23 7BL
2FV,Encompass,NR18 9SZ,6,The Bawburgh School,NR9 3LR,10078602,120784,The Bawburgh School,NR9 3LR
2FV,Encompass,NR18 9SZ,1,Wymondham College,NR18 9SZ,10033000,136481,Wymondham College,NR18 9SZ
2CQ,Prenton Primary School,CH43 0RQ,B,Bedford Drive Primary School,CH42 6RT,10070128,104988,Bedford Drive Primary School,CH42 6RT
2CQ,Prenton Primary School,CH43 0RQ,D,Devonshire Park Primary School,CH42 9JX,10068816,104991,Devonshire Park Primary School,CH42 9JX
2CQ,Prenton Primary School,CH43 0RQ,M,Mersey Park Primary School,CH42 0PH,10070121,105042,Mersey Park Primary School,CH42 0PH
2CQ,Prenton Primary School,CH43 0RQ,R,Rock Ferry Primary School,CH42 2BL,10068811,105045,Rock Ferry Primary School,CH42 2BL
2CQ,Prenton Primary School,CH43 0RQ,T,Townfield Primary School,CH43 2LH,10046170,140931,Townfield Primary School,CH43 2LH
2CQ,Prenton Primary School,CH43 0RQ,L,Well Lane Primary School,CH42 5PF,10070120,105050,Well Lane Primary School,CH42 5PF
1G2,Oak Academy,BH11 9JJ,O,Oak Academy,BH11 9JJ,10039682,139037,Oak Academy,BH11 9JJ
24W,South Cumbria SCITT,LA9 6PJ,S,Samuel King's School,CA9 3QU,10017461,112378,Samuel King's School,CA9 3QU
24W,South Cumbria SCITT,LA9 6PJ,U,Ulverston Victoria High School,LA12 0EB,10007128,112385,Ulverston Victoria High School,LA12 0EB
1R6,Dale Teaching School Alliance,HG3 4AN,A,Glasshouses Community Primary School,HG3 5QH,10074844,121404,Glasshouses Community Primary School,HG3 5QH
1R8,Wayland Academy,NR2 2LJ,F,Attleborough Academy,NR17 2AJ,10044478,140534,Attleborough Academy,NR17 2AJ
1R8,Wayland Academy,NR2 2LJ,D,City Academy Norwich,NR4 7LP,10027688,135904,City Academy Norwich,NR4 7LP
19A,Helsby High School,WA6 0HY,M,Helsby High School,WA6 0HY,10002998,111440,Helsby High School,WA6 0HY
1GD,Perry Beeches The Academy,B42 2PY,I,Brookfields Primary School,B18 6PU,10081432,146437,Brookfields Primary School,B18 6PU
1GD,Perry Beeches The Academy,B42 2PY,F,Firs Primary School,B36 8LL,10057437,143089,Firs Primary School,B36 8LL
1GD,Perry Beeches The Academy,B42 2PY,7,Greenwood Academy,B35 7NL,10039864,139048,Greenwood Academy,B35 7NL
1GD,Perry Beeches The Academy,B42 2PY,B,Holyhead School,B21 0HN,10034633,137034,Holyhead School,B21 0HN
1GD,Perry Beeches The Academy,B42 2PY,9,Howley Grange Primary School,B62 0HS,10069986,103814,Howley Grange Primary School,B62 0HS
1GD,Perry Beeches The Academy,B42 2PY,H,Huntingtree Primary School,B63 4HY,10073199,103802,Huntingtree Primary School,B63 4HY
1GD,Perry Beeches The Academy,B42 2PY,L,Littleton Green Community School,WS12 4UD,10062363,143898,Littleton Green Community School,WS12 4UD
1GD,Perry Beeches The Academy,B42 2PY,Q,Queensbury School,B24 8BL,10084539,146858,Queensbury School,B24 8BL
15S,Parliament Hill School,NW5 1RL,B,Haverstock School,NW3 2BQ,10002938,100049,Haverstock School,NW3 2BQ
15S,Parliament Hill School,NW5 1RL,C,William Ellis School,NW5 1RN,10007511,100056,William Ellis School,NW5 1RN
16Q,Bemrose School,DE22 3HU,A,Arboretum Primary School,DE23 8GP,10082361,146715,Arboretum Primary School,DE23 8GP
16Q,Bemrose School,DE22 3HU,C,Brookfield Primary School,DE3 0BW,10083207,147119,Brookfield Primary School,DE3 0BW
16Q,Bemrose School,DE22 3HU,R,Ravensdale Junior School,DE3 9EY,10084126,147399,Ravensdale Junior School,DE3 9EY
16Q,Bemrose School,DE22 3HU,S,Silverhill Primary School,DE3 0QE,10076127,112765,Silverhill Primary School,DE3 0QE
16Q,Bemrose School,DE22 3HU,E,Springfield Primary School,DE21 7AB,10082667,146839,Springfield Primary School,DE21 7AB
16Q,Bemrose School,DE22 3HU,I,St James' Church of England Aided Infant School,DE23 8EG,10080361,112915,St James' Church of England Aided Infant School,DE23 8EG
16Q,Bemrose School,DE22 3HU,J,St James' Church of England Aided Junior School,DE23 8FQ,10087571,148368,St James' Church of England Aided Junior School,DE23 8FQ
1.00E+07,West Ealing Primary Partnership,UB6 8JD,B,Gifford Primary School,UB5 6BU,10072880,101898,Gifford Primary School,UB5 6BU
1QH,Hazel Oak School,B90 2AZ,F,Forest Oak School,B36 0UE,10015347,104132,Forest Oak School,B36 0UE
1QH,Hazel Oak School,B90 2AZ,M,Merstone School,B36 0UE,10016914,104133,Merstone School,B36 0UE
1QH,Hazel Oak School,B90 2AZ,R,Reynalds Cross School,B92 7ER,10017435,104131,Reynalds Cross School,B92 7ER
